date,isin,wkn,asset_name,transaction_type,quantity,price,currency,amount,fees,tax_withheld,jurisdiction
2022-03-10,DE00SYNTH001,SYN001,Synthetic Equity Alpha,buy,200,11.2,EUR,2240.0,9.9,0.0,DE
2022-08-22,DE00SYNTH001,SYN001,Synthetic Equity Alpha,buy,100,12.8,EUR,1280.0,9.9,0.0,DE
2023-01-15,DE00SYNTH001,SYN001,Synthetic Equity Alpha,buy,50,12.5,EUR,625.0,9.9,0.0,DE
2023-03-20,DE00SYNTH001,SYN001,Synthetic Equity Alpha,dividend,0,0.0,EUR,112.0,0.0,29.12,DE
2023-03-20,DE00SYNTH001,SYN001,Synthetic Equity Alpha,tax_withheld,0,0.0,EUR,-29.12,0.0,29.12,DE
2023-06-01,DE00SYNTH001,SYN001,Synthetic Equity Alpha,buy,75,14.2,EUR,1065.0,9.9,0.0,DE
2023-09-15,DE00SYNTH001,SYN001,Synthetic Equity Alpha,sell,150,15.8,EUR,2370.0,9.9,0.0,DE
2023-11-10,IE00SYNTH002,,Synthetic ETF Beta,buy,30,85.4,EUR,2562.0,0.0,0.0,IE
2023-11-10,US00SYNTH003,,Synthetic Equity Gamma,buy,10,175.0,USD,1750.0,0.0,0.0,US
2023-12-15,US00SYNTH003,,Synthetic Equity Gamma,dividend,0,0.0,USD,9.6,0.0,1.44,US
